Breed Type;Sub Breed;Breed Group;Breed
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Shar-pei Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Chinese Shar-Pei
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Chinese Shar-Pei Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Shiba Inu
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Shiba Inu Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Shikoku
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Shikoku Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Siberian Husky
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Siberian Husky Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Spitz
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Spitz Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Swedish Elkhound
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Swedish Elkhound Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Swedish Lapphund
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Swedish Lapphund Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Swedish Vallhund
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Swedish Vallhund Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Taiwanese Native Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Taiwanese Native Dog Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Taiwan Dog
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Taiwan Dog Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Tibetan Mastiff
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Tibetan Mastiff Mix
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Volpino Italiano
Ancient and Spitz;Ancient and Spitz;Ancient and Spitz;Volpino Italiano Mix
Herding dogs;Australian;Australian-like;Australian Cattle Dog
Herding dogs;Australian;Australian-like;Australian Cattle Dog Mix
Herding dogs;Australian;Australian-like;Australian Stumpy Tail Cattle Dog
Herding dogs;Australian;Australian-like;Australian Stumpy Tail Cattle Dog Mix
Herding dogs;Australian;Australian-like;Australian Shepherd
Herding dogs;Australian;Australian-like;Australian Shepherd Mix
Herding dogs;Australian;Australian-like;Australian Shepherd - miniature
Herding dogs;Australian;Australian-like;Australian Shepherd - miniature Mix
Herding dogs;Australian;Australian-like;Miniature American Shepherd
Herding dogs;Australian;Australian-like;Miniature American Shepherd Mix
Herding dogs;Australian;Australian-like;Blue Heeler
Herding dogs;Australian;Australian-like;Blue Heeler Mix
Herding dogs;Australian;Australian-like;Koolie
Herding dogs;Australian;Australian-like;Koolie Mix
Herding dogs;Australian;Australian-like;Queensland Heeler
Herding dogs;Australian;Australian-like;Queensland Heeler Mix
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Australian Kelpie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Australian Kelpie Mix
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Bearded Collie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Bearded Collie Mix
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Border Collie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Border Collie Mix
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Collie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Collie Mix
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Collie smooth-coated
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Collie smooth-coated Mix
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Kelpie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Kelpie Mix
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Nova Scotia Duck Tolling Retriever
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Nova Scotia Duck Tolling Retriever Mix
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Old English Sheepdog
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Old English Sheepdog Mix
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Rough Collie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Rough Collie Mix
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Smooth Collie
Herding dogs;Collie, Corgi, Sheepdog;Australian-like;Smooth Collie Mix
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Cardigan Welsh Corgi
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Cardigan Welsh Corgi Mix
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Corgi
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Corgi Mix
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Dorgie
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Dorgie Mix
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;English Shepherd
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;English Shepherd Mix
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;English Shepard
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;English Shepard Mix
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Lancashire Heeler
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Lancashire Heeler Mix
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;New Zealand Huntaway (Sheepdog)
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;New Zealand Huntaway (Sheepdog) Mix
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Pembroke Welsh Corgi
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Pembroke Welsh Corgi Mix
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Shetland Sheepdog
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Shetland Sheepdog Mix
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Welsh Corgi
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Welsh Corgi Mix
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Welsh Corgi - Cardigan
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Welsh Corgi - Cardigan Mix
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Welsh Corgi - Pembroke
Herding dogs;Collie, Corgi, Sheepdog;Herding dogs - Other;Welsh Corgi - Pembroke Mix
Herding dogs;Herding-other;Herding dogs - Other;Aidi
Herding dogs;Herding-other;Herding dogs - Other;Aidi Mix
Herding dogs;Herding-other;Herding dogs - Other;Canaan Dog
Herding dogs;Herding-other;Herding dogs - Other;Canaan Dog Mix
Herding dogs;Herding-other;Herding dogs - Other;Dutch Sheepdog
Herding dogs;Herding-other;Herding dogs - Other;Dutch Sheepdog Mix
Herding dogs;Herding-other;Herding dogs - Other;Hungarian Puli
Herding dogs;Herding-other;Herding dogs - Other;Hungarian Puli Mix
Herding dogs;Herding-other;Herding dogs - Other;Hungarian Pumi
Herding dogs;Herding-other;Herding dogs - Other;Hungarian Pumi Mix
Herding dogs;Herding-other;Herding dogs - Other;Hungarian Sheepdog
Herding dogs;Herding-other;Herding dogs - Other;Hungarian Sheepdog Mix
Herding dogs;Herding-other;Herding dogs - Other;Komondor
Herding dogs;Herding-other;Herding dogs - Other;Komondor Mix
Herding dogs;Herding-other;Herding dogs - Other;Maremma Sheepdog
Herding dogs;Herding-other;Herding dogs - Other;Maremma Sheepdog Mix
Herding dogs;Herding-other;Herding dogs - Other;Mioritic Sheepdog
Herding dogs;Herding-other;Herding dogs - Other;Mioritic Sheepdog Mix
Herding dogs;Herding-other;Herding dogs - Other;Mudi
Herding dogs;Herding-other;Herding dogs - Other;Mudi Mix
Herding dogs;Herding-other;Herding dogs - Other;Norwegian Buhund
Herding dogs;Herding-other;Herding dogs - Other;Norwegian Buhund Mix
Herding dogs;Herding-other;Herding dogs - Other;Polish Lowland Sheepdog
Herding dogs;Herding-other;Herding dogs - Other;Polish Lowland Sheepdog Mix
Herding dogs;Herding-other;Herding dogs - Other;Polish Tatra Sheepdog
Herding dogs;Herding-other;Herding dogs - Other;Polish Tatra Sheepdog Mix
Herding dogs;Herding-other;Herding dogs - Other;Puli
Herding dogs;Herding-other;Herding dogs - Other;Puli Mix
Herding dogs;Herding-other;Herding dogs - Other;Pumi
Herding dogs;Herding-other;Herding dogs - Other;Pumi Mix
Herding dogs;Herding-other;Herding dogs - Other;Schapendoes
Herding dogs;Herding-other;Herding dogs - Other;Schapendoes Mix
Herding dogs;Herding-other;Herding dogs - Other;Tibetan Kyiapso
Herding dogs;Herding-other;Herding dogs - Other;Tibetan Kyiapso Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Afghan Hound
Herding dogs;Sight Hounds;Herding dogs - Other;Afghan Hound Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Akbash Dog
Herding dogs;Sight Hounds;Herding dogs - Other;Akbash Dog Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Akbash
Herding dogs;Sight Hounds;Herding dogs - Other;Akbash Mix
Herding dogs;Sight Hounds;Herding dogs - Other;American Staghound
Herding dogs;Sight Hounds;Herding dogs - Other;American Staghound Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Azawakh
Herding dogs;Sight Hounds;Herding dogs - Other;Azawakh Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Borzoi
Herding dogs;Sight Hounds;Herding dogs - Other;Borzoi Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Czechoslovakian Wolfdog (Vlcák)
Herding dogs;Sight Hounds;Herding dogs - Other;Czechoslovakian Wolfdog (Vlcák) Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Deerhound
Herding dogs;Sight Hounds;Herding dogs - Other;Deerhound Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Greyhound
Herding dogs;Sight Hounds;Herding dogs - Other;Greyhound Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Hungarian Kuvasz
Herding dogs;Sight Hounds;Herding dogs - Other;Hungarian Kuvasz Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Ibizan Hound
Herding dogs;Sight Hounds;Herding dogs - Other;Ibizan Hound Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Irish Wolfhound
Herding dogs;Sight Hounds;Herding dogs - Other;Irish Wolfhound Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Italian Greyhound
Herding dogs;Sight Hounds;Herding dogs - Other;Italian Greyhound Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Kuvasz
Herding dogs;Sight Hounds;Herding dogs - Other;Kuvasz Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Lurcher
Herding dogs;Sight Hounds;Herding dogs - Other;Lurcher Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Pharaoh Hound
Herding dogs;Sight Hounds;Herding dogs - Other;Pharaoh Hound Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Saarlooswolfhond
Herding dogs;Sight Hounds;Herding dogs - Other;Saarlooswolfhond Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Saluki
Herding dogs;Sight Hounds;Herding dogs - Other;Saluki Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Scottish Deerhound
Herding dogs;Sight Hounds;Herding dogs - Other;Scottish Deerhound Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Silken Windhound
Herding dogs;Sight Hounds;Herding dogs - Other;Silken Windhound Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Sloughi
Herding dogs;Sight Hounds;Herding dogs - Other;Sloughi Mix
Herding dogs;Sight Hounds;Herding dogs - Other;Whippet
Herding dogs;Sight Hounds;Herding dogs - Other;Whippet Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Alano Español
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Alano Español Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;American Mastiff
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;American Mastiff Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Anatolian Shepherd Dog
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Anatolian Shepherd Dog Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Argentine Dogo
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Argentine Dogo Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Boerboel
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Boerboel Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Brazilian Fila
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Brazilian Fila Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Bullmastiff
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Bullmastiff Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Ca de Bou
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Ca de Bou Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Canary Dog
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Canary Dog Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Cane Corso
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Cane Corso Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Dogo Argentino
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Dogo Argentino Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Dogue De Bordeaux
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Dogue De Bordeaux Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Dogue de Bordeaux
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Dogue de Bordeaux Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;English Mastiff
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;English Mastiff Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Fila Brasileiro
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Fila Brasileiro Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;French Mastiff
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;French Mastiff Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Kangal Dog
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Kangal Dog Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Karabash
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Karabash Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Mastiff
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Mastiff Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Neapolitan Mastiff
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Neapolitan Mastiff Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Nebolish Mastiff
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Nebolish Mastiff Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Old English Mastiff
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Old English Mastiff Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Perro de Presa Mallorquin
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Perro de Presa Mallorquin Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Presa Canario
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Presa Canario Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Perro de Presa Canario
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Perro de Presa Canario Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Pyrenean Mastiff
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Pyrenean Mastiff Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Spanish Mastiff
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Spanish Mastiff Mix
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Tosa Inu
Mastiff-Like;"""True"" Mastiffs";Mastiff-like Group 1;Tosa Inu Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;American Bully
Mastiff-Like;Bulldogs;Mastiff-like Group 1;American Bully Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;American Pit Bull Terrier
Mastiff-Like;Bulldogs;Mastiff-like Group 1;American Pit Bull Terrier Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;American Pitbull Terrier
Mastiff-Like;Bulldogs;Mastiff-like Group 1;American Pitbull Terrier Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;American Staffordshire Terrier
Mastiff-Like;Bulldogs;Mastiff-like Group 1;American Staffordshire Terrier Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Boston Terrier
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Boston Terrier Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Boxer
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Boxer Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Bull Terrier
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Bull Terrier Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Bull Terrier - miniature
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Bull Terrier - miniature Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Miniature Bull Terrier
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Miniature Bull Terrier Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;BullBoxer
Mastiff-Like;Bulldogs;Mastiff-like Group 1;BullBoxer Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Bulldog
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Bulldog Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;French Bulldog
Mastiff-Like;Bulldogs;Mastiff-like Group 1;French Bulldog Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Irish Staffordshire Bull Terrier
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Irish Staffordshire Bull Terrier Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Pit Bull
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Pit Bull Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Staffordshire Bull Terrier
Mastiff-Like;Bulldogs;Mastiff-like Group 1;Staffordshire Bull Terrier Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 2;Alapaha Blue Blood Bulldog
Mastiff-Like;Bulldogs;Mastiff-like Group 2;Alapaha Blue Blood Bulldog Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 2;American Bulldog
Mastiff-Like;Bulldogs;Mastiff-like Group 2;American Bulldog Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 2;English Bulldog
Mastiff-Like;Bulldogs;Mastiff-like Group 2;English Bulldog Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 2;Olde English Bulldogge
Mastiff-Like;Bulldogs;Mastiff-like Group 2;Olde English Bulldogge Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 2;Old English Bulldogge
Mastiff-Like;Bulldogs;Mastiff-like Group 2;Old English Bulldogge Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 2;Olde Victorian Bulldogge
Mastiff-Like;Bulldogs;Mastiff-like Group 2;Olde Victorian Bulldogge Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 2;Spanish Bulldog
Mastiff-Like;Bulldogs;Mastiff-like Group 2;Spanish Bulldog Mix
Mastiff-Like;Bulldogs;Mastiff-like Group 2;Victorian Bulldog
Mastiff-Like;Bulldogs;Mastiff-like Group 2;Victorian Bulldog Mix
Mastiff-Like;Bulldogs;Mixed Other;Boxer Mix
Mastiff-Like;Similar to retrievers;Mastiff-like Group 1;Appenzell Mountain Dog
Mastiff-Like;Similar to retrievers;Mastiff-like Group 1;Appenzell Mountain Dog Mix
Mastiff-Like;Similar to retrievers;Mastiff-like Group 1;Appenzeller Sennenhund
Mastiff-Like;Similar to retrievers;Mastiff-like Group 1;Appenzeller Sennenhund Mix
Mastiff-Like;Similar to retrievers;Mastiff-like Group 1;Berger des Pyrenees
Mastiff-Like;Similar to retrievers;Mastiff-like Group 1;Berger des Pyrenees Mix
Mastiff-Like;Similar to retrievers;Mastiff-like Group 1;Bernese Mountain Dog
Mastiff-Like;Similar to retrievers;Mastiff-like Group 1;Bernese Mountain Dog Mix
Mastiff-Like;Similar to retrievers;Mastiff-like Group 1;Entlebucher Mountain Dog
Mastiff-Like;Similar to retrievers;Mastiff-like Group 1;Entlebucher Mountain Dog Mix
